Year,Emissions
1970,21.126171999692
1971,21.336872284859
1972,21.884741318254
1973,22.070715175079
1974,22.468090110166
1975,23.006622380609
1976,24.041528208452
1977,24.496593576927
1978,25.203627957275
1979,25.915807406401
1980,26.242038930498
1981,27.126570790673
1982,27.950290427501
1983,28.378529693887
1984,27.603889622142
1985,28.194875007066
1986,28.948971009721
1987,29.852091653357
1988,30.231231550539
1989,30.592634497896
1990,31.169970315727
1991,31.599872223617
1992,31.894418627514
1993,32.975202719301
1994,33.81761993615
1995,37.868625573292
1996,36.646616051495
1997,36.421129719744
1998,38.133936662715
1999,41.470002556204
2000,42.5561437367
2001,43.360091499623
2002,45.454389557608
2003,47.265521240058
2004,48.821551418375
2005,50.94867617508
2006,52.489500578326
2007,52.743884825773
2008,55.153090486772
2009,55.902081282336
2010,59.18136430189
2011,63.649721681946
2012,66.574964670528
2013,71.233413675725
2014,72.684268893518
2015,75.452229803892
2016,76.259745757055
2017,77.561518533577
2018,79.180463744954
2019,83.748678740134
2020,85.145713315513
2021,88.121396724968
2022,89.378410029072
